verbatim;type;edited;edited2;edited3;source;usageKey;acceptedUsageKey;parent1;parent2;parent1_usageKey;parent1_acceptedUsageKey;parent2_usageKey;parent2_acceptedUsageKey
Helianthus rigidus x tuberosus;formula;Helianthus rigidus × tuberosus;Helianthus rigidus × tuberosus;NA;ecoflora;NA;NA;Helianthus rigidus;Helianthus tuberosus;6065079;7223475;3119175;3119175
Helianthus x multiflorus L.;name;Helianthus × multiflorus L.;Helianthus ×multiflorus L.;Helianthus × multiflorus;ecoflora;8279192;3119185;Helianthus annuus;Helianthus decapetalus;9206251;9206251;3119185;3119185
Heracleum sphondylium x mantegazzianum;formula;Heracleum sphondylium × mantegazzianum;Heracleum sphondylium × mantegazzianum;NA;ecoflora;NA;NA;Heracleum sphondylium;Heracleum mantegazzianum;3034830;3034830;3034825;3034825
Hyacinthoides x massartiana Geerinck;name;Hyacinthoides × massartiana Geerinck;Hyacinthoides ×massartiana Geerinck;Hyacinthoides × massartiana;ecoflora;5304294;5304294;Hyacinthoides non-scripta;Hyacinthoides hispanica;5304283;5304283;5304257;5304257
Hypericum x inodorum Mill.;name;Hypericum × inodorum Mill.;Hypericum ×inodorum Mill.;Hypericum × inodorum;ecoflora;3711564;3711564;Hypericum androsaemum;Hypericum hircinum;3189525;3189525;6436603;6436603
Ilex x altaclerensis (hort. ex Loudon) Dallim.;name;Ilex × altaclerensis (hort. ex Loudon) Dallim.;Ilex ×altaclerensis (hort. ex Loudon) Dallim.;Ilex × altaclerensis;ecoflora;5930559;5930559;Ilex aquifolium;Ilex perado;5414222;5414222;9278245;9278245
Iris x robusta E.S. Anderson;name;Iris × robusta E.S. Anderson;Iris ×robusta E.S. Anderson;Iris × robusta;ecoflora;5299157;5299157;Iris versicolor;Iris virginica;5298019;5298019;5298008;5298008
Juncus inflexus x pallidus;formula;Juncus inflexus × pallidus;Juncus inflexus × pallidus;NA;ecoflora;NA;NA;Juncus inflexus;Juncus pallidus;2701841;2701841;2701564;2701564
Laburnum x watereri (Wettst.) Dippel;name;Laburnum × watereri (Wettst.) Dippel;Laburnum ×watereri (Wettst.) Dippel;Laburnum × watereri;ecoflora;5356351;5356351;Laburnum anagyroides;Laburnum alpinum;5356345;5356345;5356343;5356343
Larix x marschlinsii Coaz;name;Larix × marschlinsii Coaz;Larix ×marschlinsii Coaz;Larix × marschlinsii;ecoflora;4938682;4938682;Larix decidua;Larix kaempferi;2686212;2686212;2686157;2686157
Lavandula x intermedia Loisel.;name;Lavandula × intermedia Loisel.;Lavandula ×intermedia Loisel.;Lavandula × intermedia;ecoflora;12021612;12021612;Lavandula angustifolia;Lavandula latifolia;2927305;2927305;2927304;2927304
Leucanthemum x superbum;name;Leucanthemum × superbum;Leucanthemum ×superbum;Leucanthemum × superbum;ecoflora;5401007;5401007;Leucanthemum lacustre;Leucanthemum maximum;5401010;5401010;5401002;5401002
Linaria x cornubiensis Druce;name;Linaria × cornubiensis Druce;Linaria ×cornubiensis Druce;Linaria × cornubiensis;ecoflora;7699085;7699085;Linaria repens;Linaria supina;5415019;5415019;5415009;5415009
Linaria x dominii Druce;name;Linaria × dominii Druce;Linaria ×dominii Druce;Linaria × dominii;ecoflora;8159267;8159267;Linaria purpurea;Linaria repens;5415012;5415012;5415019;5415019
Linaria x sepium J.G. Allman;name;Linaria × sepium J.G. Allman;Linaria ×sepium J.G. Allman;Linaria × sepium;ecoflora;5415022;5415022;Linaria vulgaris;Linaria repens;5415020;5415020;5415019;5415019
Lolium x boucheanum Kunth;name;Lolium × boucheanum Kunth;Lolium ×boucheanum Kunth;Lolium × boucheanum;ecoflora;4133390;4133390;Lolium perenne;Lolium multiflorum;2706241;2706241;4129708;4129708
Lonicera x italica Schmidt ex Tausch;name;Lonicera × italica Schmidt ex Tausch;Lonicera ×italica Schmidt ex Tausch;Lonicera × italica;ecoflora;8325800;5598788;Lonicera caprifolium;Lonicera etrusca;5334227;5334227;5334247;5334247
Lupinus x pseudopolyphyllus C.P. Sm.;name;Lupinus × pseudopolyphyllus C.P. Sm.;Lupinus ×pseudopolyphyllus C.P. Sm.;Lupinus × pseudopolyphyllus;ecoflora;3907823;3907823;Lupinus polyphyllus;Lupinus nootkatensis;2964355;2964355;2964525;2964525
Lupinus x regalis Bergmans;name;Lupinus × regalis Bergmans;Lupinus ×regalis Bergmans;Lupinus × regalis;ecoflora;2964309;2964309;Lupinus arboreus;Lupinus polyphyllus;2963807;2963807;2964355;2964355
Macleaya x kewensis Turrill;name;Macleaya × kewensis Turrill;Macleaya ×kewensis Turrill;Macleaya × kewensis;ecoflora;5530751;5530751;Macleaya cordata;Macleaya microcarpa;5334194;5334194;5530747;5530747
Mahonia x decumbens Stace;name;Mahonia × decumbens Stace;Mahonia ×decumbens Stace;Mahonia × decumbens;ecoflora;3982249;3982249;Mahonia aquifolium;Mahonia repens;3033865;3033865;3033850;3033850
Malus x purpurea (E. Barbier) Rehder;name;Malus × purpurea (E. Barbier) Rehder;Malus ×purpurea (E. Barbier) Rehder;Malus × purpurea;ecoflora;3001270;3001270;Malus atrosanguinea;Malus niedzwetzkyana;3001440;3001440;3001327;3001244
Mentha x gracilis Sole;name;Mentha × gracilis Sole;Mentha ×gracilis Sole;Mentha × gracilis;ecoflora;7923052;7923052;Mentha arvensis;Mentha spicata;2927192;2927192;2927175;2927175
Mentha x piperita L.;name;Mentha × piperita L.;Mentha ×piperita L.;Mentha × piperita;ecoflora;8707933;8707933;Mentha aquatica;Mentha spicata;2927208;2927208;2927175;2927175
Mentha x rotundifolia (L.) Huds.;name;Mentha × rotundifolia (L.) Huds.;Mentha ×rotundifolia (L.) Huds.;Mentha × rotundifolia;ecoflora;8974899;8974899;Mentha suaveolens;Mentha longifolia;2927190;2927190;7510173;7510173
Mentha x verticillata L.;name;Mentha × verticillata L.;Mentha ×verticillata L.;Mentha × verticillata;ecoflora;8172952;8172952;Mentha arvensis;Mentha aquatica;2927192;2927192;2927208;2927208
Mentha x villosa Huds;name;Mentha × villosa Huds;Mentha ×villosa Huds;Mentha × villosa;ecoflora;8004895;8004895;Mentha spicata;Mentha suaveolens;2927175;2927175;2927190;2927190
Mentha x villosonervata Opiz;name;Mentha × villosonervata Opiz;Mentha ×villosonervata Opiz;Mentha × villosonervata;ecoflora;6559932;10051670;Mentha spicata;Mentha longifolia;2927175;2927175;7510173;7510173
Mimulus x burnetii S. Arn.;name;Mimulus × burnetii S. Arn.;Mimulus ×burnetii S. Arn.;Mimulus × burnetii;ecoflora;9418730;9540567;Mimulus guttatus;Mimulus cupreus;NA;NA;NA;NA
Mimulus x maculosus T. Moore;name;Mimulus × maculosus T. Moore;Mimulus ×maculosus T. Moore;Mimulus × maculosus;ecoflora;9434017;9333519;Mimulus luteus;Mimulus cupreus;6070840;7730307;NA;NA
Mimulus x robertsii Silverside;name;Mimulus × robertsii Silverside;Mimulus ×robertsii Silverside;Mimulus × robertsii;ecoflora;5563498;7507094;Mimulus guttatus;Mimulus luteus;NA;NA;6070840;7730307
Narcissus x incomparabilis Mill.;name;Narcissus × incomparabilis Mill.;Narcissus ×incomparabilis Mill.;Narcissus × incomparabilis;ecoflora;2859255;2859255;Narcissus poeticus;Narcissus pseudonarcissus;2858581;2858581;2858244;2858244
Narcissus x medioluteus Mill.;name;Narcissus × medioluteus Mill.;Narcissus ×medioluteus Mill.;Narcissus × medioluteus;ecoflora;2858896;2858896;Narcissus tazetta;Narcissus poeticus;2858963;2858963;2858581;2858581
Narcissus x monochromus P.D. Sell;name;Narcissus × monochromus P.D. Sell;Narcissus ×monochromus P.D. Sell;Narcissus × monochromus;ecoflora;4014301;4014301;Narcissus pseudonarcissus;Narcissus cyclamineus;2858244;2858244;2858654;2858654
Narcissus x odorus L.;name;Narcissus × odorus L.;Narcissus ×odorus L.;Narcissus × odorus;ecoflora;2858472;2858472;Narcissus pseudonarcissus;Narcissus jonquilla;2858244;2858244;2858909;2858909
Nepeta x faassenii Bergmans ex Stearn;name;Nepeta × faassenii Bergmans ex Stearn;Nepeta ×faassenii Bergmans ex Stearn;Nepeta × faassenii;ecoflora;7350989;7350989;Nepeta nepetella;Nepeta racemosa;7309064;7309064;5341497;5341497
Nicotiana x sanderae W. Watson;name;Nicotiana × sanderae W. Watson;Nicotiana ×sanderae W. Watson;Nicotiana × sanderae;ecoflora;3799170;3799170;Nicotiana alata;Nicotiana forgetiana;2928761;2928761;2928779;2928779
Nothofagus nervosa x obliqua;formula;Nothofagus nervosa × obliqua;Nothofagus nervosa × obliqua;NA;ecoflora;NA;NA;Nothofagus nervosa;Nothofagus obliqua;2874879;2874878;2874984;2874984
Oenothera biennis x cambrica;formula;Oenothera biennis × cambrica;Oenothera biennis × cambrica;NA;ecoflora;NA;NA;Oenothera biennis;Oenothera cambrica;3188924;3188924;7322292;7322292
Oenothera x britannica Rostanski;name;Oenothera × britannica Rostanski;Oenothera ×britannica Rostanski;Oenothera × britannica;ecoflora;3664627;3664627;Oenothera glazioviana;Oenothera cambrica;3188894;3188894;7322292;7322292
Oenothera x fallax Renner;name;Oenothera × fallax Renner;Oenothera ×fallax Renner;Oenothera × fallax;ecoflora;7915783;7915783;Oenothera glazioviana;Oenothera biennis;3188894;3188894;3188924;3188924
Olearia x haastii Hook. f.;name;Olearia × haastii Hook. f.;Olearia ×haastii Hook. f.;Olearia × haastii;ecoflora;5405015;5405015;Olearia avicenniifolia;Olearia moschata;5404996;5404996;5405267;5405267
Papaver x hungaricum Borbás;name;Papaver × hungaricum Borbás;Papaver ×hungaricum Borbás;Papaver × hungaricum;ecoflora;3601414;3601414;Papaver rhoeas;Papaver dubium;2888443;2888443;2888464;2888464
Petunia x hybrida (Hook.) Vilm.;name;Petunia × hybrida (Hook.) Vilm.;Petunia ×hybrida (Hook.) Vilm.;Petunia × hybrida;ecoflora;2928860;2928859;Petunia axillaris;Petunia integrifolia;2928863;2928863;2928861;2928861
