key;accepted;kingdom;scientificName;speciesKey
10652607;Salix cinerea × repens subsp. repens;Plantae;Salix cinerea subsp. cinerea × repens subsp. repens;10407305
9880864;Rumex bryhnii × longifolius;Plantae;Rumex crispus var. microcarpus × longifolius;10407890
10407890;NA;Plantae;Rumex bryhnii × longifolius;10407890
10520344;Rumex bryhnii × longifolius;Plantae;Rumex crispus var. microcarpus x longifolius;10407890
10013399;Betula nana × pubescens subsp. czerepanovii;Plantae;"""Betula nana x pubescens subsp. czerepanovii  """;10408533
10274742;Betula nana × pubescens subsp. czerepanovii;Plantae;"""Betula nana × pubescens ssp. czerepanovii  """;10408533
10408533;NA;Plantae;Betula nana × pubescens subsp. czerepanovii;10408533
10653828;Betula nana × pubescens subsp. czerepanovii;Plantae;"""Betula nana x pubescens ssp. czerepanovii  """;10408533
10408569;NA;Plantae;Crocosmia aurea x pottsii;10408569
10013876;Erigeron acris subsp. politus × humilis;Plantae;Erigeron acris ssp. politus × humilis;10409029
10274245;Erigeron acris subsp. politus × humilis;Plantae;Erigeron acris ssp. politus x humilis;10409029
10409029;NA;Plantae;Erigeron acris subsp. politus × humilis;10409029
10654308;Erigeron acris subsp. politus × humilis;Plantae;Erigeron acris subsp. politus x humilis;10409029
10014165;Viola canina subsp. canina × rupestris subsp. rupestris;Plantae;Viola canina ssp. canina × rupestris ssp. rupestris;10409313
10273953;Viola canina subsp. canina × rupestris subsp. rupestris;Plantae;Viola canina ssp. canina x rupestris ssp. rupestris;10409313
10409313;NA;Plantae;Viola canina subsp. canina × rupestris subsp. rupestris;10409313
10654606;Viola canina subsp. canina × rupestris subsp. rupestris;Plantae;Viola canina subsp. canina x rupestris subsp. rupestris;10409313
10409415;NA;Plantae;Carex cespitosa × elata;10409415
10409478;NA;Plantae;Elymus lanceolatus subsp. psammophilus × Elymus trachycaulus subsp. trachycaulus;10409478
10014629;Cerastium fontanum subsp. vulgare × pumilum;Plantae;Cerastium fontanum ssp. vulgare × pumilum;10409776
10273504;Cerastium fontanum subsp. vulgare × pumilum;Plantae;Cerastium fontanum subsp. vulgare x pumilum;10409776
10409776;NA;Plantae;Cerastium fontanum subsp. vulgare × pumilum;10409776
10655065;Cerastium fontanum subsp. vulgare × pumilum;Plantae;Cerastium fontanum ssp. vulgare x pumilum;10409776
10410023;NA;Plantae;Axonopus compressus x flexuosus;10410023
10273022;Hordeum comosum × jubatum;Plantae;Hordeum comosum x jubatum;10410256
10410256;NA;Plantae;Hordeum comosum × jubatum;10410256
10410267;NA;Plantae;Ophrys catalaunica x Ophrys scolopax;10410267
9877379;Potamogeton perfoliatus × praelongus;Plantae;Potamogeton perfoliatus x praelongus;10411394
10411394;NA;Plantae;Potamogeton perfoliatus × praelongus;10411394
9877204;Viola tricolor × wittrockiana;Plantae;Viola tricolor x wittrockiana;10411573
10411573;NA;Plantae;Viola tricolor × wittrockiana;10411573
10411852;NA;Plantae;Centaurea jacea x nigrescens;10411852
10411920;NA;Plantae;Rosa stylosa x canina;10411920
