verbatim;parent;type;edited;source
Scolymus ×castaneus;Scolymus hispanicus;name;Scolymus ×castaneus;wikidata
Cistus akamantis;Cistus monspeliensis;name;Cistus akamantis;wikidata
Cistus florentinus;Cistus monspeliensis;name;Cistus florentinus;wikidata
Cistus stenophyllus;Cistus monspeliensis;name;Cistus stenophyllus;wikidata
Cistus conradiae;Cistus monspeliensis;name;Cistus conradiae;wikidata
Cistus ledon;Cistus monspeliensis;name;Cistus ledon;wikidata
Cistus platysepalus;Cistus monspeliensis;name;Cistus platysepalus;wikidata
Cistus nigricans;Cistus monspeliensis;name;Cistus nigricans;wikidata
Cistus skanbergii;Cistus monspeliensis;name;Cistus skanbergii;wikidata
Cistus neyrauti;Cistus monspeliensis;name;Cistus neyrauti;wikidata
Cistus heterocalyx;Cistus monspeliensis;name;Cistus heterocalyx;wikidata
Cistus hetieri;Cistus monspeliensis;name;Cistus hetieri;wikidata
Cistus ×lecomtei;Cistus monspeliensis;name;Cistus ×lecomtei;wikidata
Cistus ×mesoensis;Cistus monspeliensis;name;Cistus ×mesoensis;wikidata
Salix ×laurina;Salix phylicifolia;name;Salix ×laurina;wikidata
Sempervivum ×nixonii;Sempervivum heuffelii;name;Sempervivum ×nixonii;wikidata
Serapias ×alberti;Serapias vomeracea;name;Serapias ×alberti;wikidata
Berberis ×hybrido-gagnepainii;Berberis gagnepainii;name;Berberis ×hybrido-gagnepainii;wikidata
Crocus × leonidii;Crocus angustifolius;name;Crocus ×leonidii;wikidata
Pinus ×holfordiana;Pinus ayacahuite;name;Pinus ×holfordiana;wikidata
Sempervivum ×vaccarii;Sempervivum grandiflorum;name;Sempervivum ×vaccarii;wikidata
Sempervivum ×christii;Sempervivum grandiflorum;name;Sempervivum ×christii;wikidata
Betula ×dosmannii;Betula maximowicziana;name;Betula ×dosmannii;wikidata
Symphytum ×uplandicum;Symphytum asperum;name;Symphytum ×uplandicum;wikidata
Huernia distincta;Huernia pillansii;name;Huernia distincta;wikidata
Atriplex ×northusana;Atriplex oblongifolia;name;Atriplex ×northusana;wikidata
Cistus ×incanus;Cistus albidus;name;Cistus ×incanus;wikidata
Cistus clausonii;Cistus albidus;name;Cistus clausonii;wikidata
Cistus timbalii;Cistus albidus;name;Cistus timbalii;wikidata
Cistus rodiei;Cistus albidus;name;Cistus rodiei;wikidata
Cistus olivaceus;Cistus albidus;name;Cistus olivaceus;wikidata
Cistus gardianus;Cistus albidus;name;Cistus gardianus;wikidata
Cistus daveauanus;Cistus albidus;name;Cistus daveauanus;wikidata
Cistus bornetianus;Cistus albidus;name;Cistus bornetianus;wikidata
Cistus ×argenteus;Cistus albidus;name;Cistus ×argenteus;wikidata
Cistus ×canescens;Cistus albidus;name;Cistus ×canescens;wikidata
Cistus ×lecomtei;Cistus albidus;name;Cistus ×lecomtei;wikidata
Cistus ×picardianus;Cistus albidus;name;Cistus ×picardianus;wikidata
Cistus ×tephreus;Cistus albidus;name;Cistus ×tephreus;wikidata
Populus ×berolinensis;Populus laurifolia;name;Populus ×berolinensis;wikidata
Phalaenopsis ×gersenii;Phalaenopsis sumatrana;name;Phalaenopsis ×gersenii;wikidata
Triticum turanicum;Triticum turgidum;name;Triticum turanicum;wikidata
Crocus × leonidii;Crocus reticulatus;name;Crocus ×leonidii;wikidata
Crocus asturicus;Crocus nudiflorus;name;Crocus asturicus;wikidata
Sempervivum × giuseppii;Sempervivum cantabricum;name;Sempervivum ×giuseppii;wikidata
Sempervivum ×versicolor;Sempervivum marmoreum;name;Sempervivum ×versicolor;wikidata
Sempervivum ×versicolor;Sempervivum ruthenicum;name;Sempervivum ×versicolor;wikidata
Magnolia ×wieseneri;Magnolia obovata;name;Magnolia ×wieseneri;wikidata
Anthurium ferrierense;Anthurium andraeanum;name;Anthurium ferrierense;wikidata
Tylecodon ×fergusoniae;Tylecodon paniculatus;name;Tylecodon ×fergusoniae;wikidata
Eucalyptus affinis;Eucalyptus albens;name;Eucalyptus affinis;wikidata
Camellia vernalis;Camellia sasanqua;name;Camellia vernalis;wikidata
Rumex ×dolosus;Rumex confertus;name;Rumex ×dolosus;wikidata
Eucalyptus affinis;Eucalyptus sideroxylon;name;Eucalyptus affinis;wikidata
Actaea ×ludovici;Actaea pachypoda;name;Actaea ×ludovici;wikidata
Atriplex ×neomexicana;Atriplex confertifolia;name;Atriplex ×neomexicana;wikidata
Actaea ×ludovici;Actaea rubra;name;Actaea ×ludovici;wikidata
Dombeya cayeuxii;Dombeya burgessiae;name;Dombeya cayeuxii;wikidata
Populus ×beijingensis;Populus cathayana;name;Populus ×beijingensis;wikidata
Hibiscadelphus ×puakuahiwi;Hibiscadelphus giffardianus;name;Hibiscadelphus ×puakuahiwi;wikidata
Acalypha ×koraensis;Acalypha indica;name;Acalypha ×koraensis;wikidata
Petunia ×atkinsiana;Petunia axillaris;name;Petunia ×atkinsiana;wikidata
Rosa × micrugosa;Rosa roxburghii;name;Rosa ×micrugosa;wikidata
Cistus ledon;Cistus laurifolius;name;Cistus ledon;wikidata
Cistus cyprius;Cistus laurifolius;name;Cistus cyprius;wikidata
Cistus sammonsii;Cistus laurifolius;name;Cistus sammonsii;wikidata
Cistus bornetianus;Cistus laurifolius;name;Cistus bornetianus;wikidata
Cistus hetieri;Cistus laurifolius;name;Cistus hetieri;wikidata
Cistus ×argenteus;Cistus laurifolius;name;Cistus ×argenteus;wikidata
Cistus ×dubius;Cistus laurifolius;name;Cistus ×dubius;wikidata
Cistus ×oblongifolius;Cistus laurifolius;name;Cistus ×oblongifolius;wikidata
Cistus ×pagei;Cistus laurifolius;name;Cistus ×pagei;wikidata
Salix ×simulatrix;Salix arbuscula;name;Salix ×simulatrix;wikidata
Dracula ×radiosyndactyla;Dracula radiosa;name;Dracula ×radiosyndactyla;wikidata
Dracula ×radiosyndactyla;Dracula syndactyla;name;Dracula ×radiosyndactyla;wikidata
Elymus pinalenoensis;Elymus elymoides;name;Elymus pinalenoensis;wikidata
Guzmania amoena;Guzmania longipetala;name;Guzmania amoena;wikidata
Cistus ×incanus;Cistus crispus;name;Cistus ×incanus;wikidata
Cistus ultraviolaceus;Cistus crispus;name;Cistus ultraviolaceus;wikidata
