hybrid;parent1;parent2;usageKey;parent_usageKey1;parent_usageKey2
Cyathea ×stella-matutina Schwartsb. & Becari-Viana;Cyathea corcovadensis (Raddi) Domin;Cyathea microdonta (Desv.) Domin;8568578;3599017;3600004
Cyclamen ×drydeniae Grey-Wilson;Cyclamen coum Rchb.;Cyclamen trochopteranthum O.Schwarz;4005083;7780279;7127692
Cyclamen ×meiklei Grey-Wilson;Cyclamen creticum Hildebr.;Cyclamen repandum Sm.;4008241;7127347;7127713
Cyclamen ×saundersiae Grey-Wilson;Cyclamen balearicum Willk.;Cyclamen repandum Sm.;4007731;7127387;7127713
Cyclamen ×schwarzii Grey-Wilson;Cyclamen libanoticum Hildebr.;Cyclamen pseudibericum Hildebr.;4007723;4008319;7127746
Cyclamen ×whiteae Grey-Wilson;Cyclamen graecum Link;Cyclamen hederifolium Aiton;4007772;7127308;7127810
Cyclobotrya ×telespirensis Engels & Canestraro;Cyclodium meniscioides (Willd.) C.Presl;Polybotrya goyazensis Brade;9651613;7319168;4042314
Cyclosorus ×erubesquirolicus (W.C.Shieh & J.L.Tsai) Mazumdar;Thelypteris erubescens (Wall. ex Hook.) Ching;Thelypteris esquirolii (C.Chr.) Ching;7579506;5666845;5666821
Cyclosorus ×gogoii (Fraser-Jenk.) Mazumdar;Thelypteris appendiculoides Fraser-Jenk.;Thelypteris triphylla (Sw.) K.Iwats.;8151170;5666977;5666598
Cyclosorus ×holttumianus Mazumdar;Christella dentata (Forssk.) Brownsey & Jermy;Pneumatopteris afra (Christ) Holttum;7617636;7160028;4080397
Cyclosorus ×kumaunicus (Holttum) Mazumdar;Thelypteris arida (D.Don) Morton;Thelypteris procera (D.Don) Fraser-Jenk.;7927182;5666893;7980839
Cyclosorus ×kumaunicus Holttum;Cyclosorus aridus (D.Don) Ching;Cyclosorus procerus (D.Don) S.Linds. & D.J.Middleton;7354347;4081846;8303626
Cyclosorus ×lindheimeri (C.Chr.) Mazumdar;Thelypteris augescens (Link) Munz & I.M.Johnst.;Thelypteris normalis (C.Chr.) Moxley;8096022;5275293;5275304
Cyclosorus ×tabaquitensis (Jermy & T.G.Walker) Mazumdar;Goniopteris paucijuga (Klotzsch) A.R.Sm.;Goniopteris tetragona (Sw.) C.Presl;7869395;8565680;2651371
Cyclosorus ×varievenulosus (Viane) Mazumdar;Thelypteris afra (Christ) C.F.Reed;Thelypteris hispidula (Decne.) C.F.Reed;8251119;5667131;5275235
Cydolus rudenkoana Mezhenskyj;Cydonia oblonga Mill.;Malus domestica (Suckow) Borkh.;6712352;5362215;3001244
Cylindropuntia ×antoniae P.V.Heath;Cylindropuntia kleiniae (DC.) F.M.Knuth;Cylindropuntia leptocaulis (DC.) F.M.Knuth;3953490;3952654;7282605
Cylindropuntia ×fosbergii (C.B.Wolf) Rebman, M.A.Baker & Pinkava;Cylindropuntia bigelovii;Cylindropuntia echinocarpa (Engelm. & Bigelow) F.M.Knuth;3952931;7282821;3952975
Cylindropuntia ×grantiorum P.V.Heath;Cylindropuntia spinosior (Toumey) F.M.Knuth;Cylindropuntia versicolor (Engelm.) F.M.Knuth;3952853;3952070;3951839
Cylindropuntia ×media P.V.Heath;Cylindropuntia imbricata (Haw.) F.M.Knuth;Cylindropuntia whipplei (Engelm. & Bigelow) F.M.Knuth;3952520;6381277;3084256
Cymbidium ×latifolium L.J.Chen, Li.Q.Li & Z.J.Liu;Cymbidium lancifolium Hook.;Cymbidium qiubeiense K.M.Feng & H.Li;8342129;5305513;5305696
Cymbidium ×nishiuchianum Makino ex J.M.H.Shaw;Cymbidium goeringii (Rchb.f.) Rchb.f.;Cymbidium kanran Makino;5542038;5305668;5305555
Cymbidium ×nomachianum T.Yukawa & Nob.Tanaka;Cymbidium aspidistrifolium Fukuy.;Cymbidium kanran Makino;5951546;5305526;5305555
Cymbidium ×nujiangense X.P.Zhou, S.P.Lei & Z.J.Liu;Cymbidium cyperifolium var. szechuanicum (Y.S.Wu & S.C.Chen) S.C.Chen & Z.J.Liu;Cymbidium tortisepalum Fukuy.;5951549;5305714;5305687
Cymbidium ×purpuratum L.J.Chen, Li.Q.Li & Z.J.Liu;Cymbidium kanran Makino;Cymbidium qiubeiense K.M.Feng & H.Li;5951548;5305555;5305696
Cymbidium ×uniflorum L.J.Chen, Li.Q.Li & Z.J.Liu;Cymbidium qiubeiense K.M.Feng & H.Li;Cymbidium serratum Schltr.;7822208;5305696;5305692
Cynara ×gaditana Blanca & Sánch.Carr.;Cynara cardunculus subsp. flavescens Wiklund;Cynara tournefortii Boiss. & Reut.;10847609;4241131;3112358
Cynara ×pacensis F.M.Vázquez;Cynara humilis L.;Cynara tournefortii Boiss. & Reut.;4241031;3112374;3112358
Cynoglossum ×austriacum Rech.;Cynoglossum hungaricum Simonk.;Cynoglossum officinale L.;4064831;4063901;2925815
Cynorkis ×mirabile Hermans & P.J.Cribb;Cynorkis gibbosa Ridl.;Cynorkis lowiana Rchb.f.;2781399;2781404;2781645
