verbatim;source;edited;type;edited2;usageKey;acceptedUsageKey;parent1;parent2;parent1_usageKey;parent1_acceptedUsageKey;parent2_usageKey;parent2_acceptedUsageKey
Salix alba × purpurea;florkart;Salix alba × purpurea;formula;Salix alba × purpurea;NA;NA;Salix alba;Salix purpurea;5372513;5372513;5372800;5372800
Salix alba × viminalis;florkart;Salix alba × viminalis;formula;Salix alba × viminalis;NA;NA;Salix alba;Salix viminalis;5372513;5372513;5372933;5372933
Salix aurita × laurina;florkart;Salix aurita × laurina;formula;Salix aurita × laurina;NA;NA;Salix aurita;Salix laurina;5372876;5372876;5582802;5582802
Salix daphnoides × purpurea;florkart;Salix daphnoides × purpurea;formula;Salix daphnoides × purpurea;9887367;9887367;Salix daphnoides;Salix purpurea;9153437;9153437;5372800;5372800
Salix caprea × eleagnos;florkart;Salix caprea × eleagnos;formula;Salix caprea × eleagnos;10646655;10646655;Salix caprea;Salix eleagnos;5372952;5372952;5372655;5372655
Salix cinerea × rosmarinifolia;florkart;Salix cinerea × rosmarinifolia;formula;Salix cinerea × rosmarinifolia;NA;NA;Salix cinerea;Salix rosmarinifolia;5372605;5372605;7104059;7104059
Salix cinerea × triandra;florkart;Salix cinerea × triandra;formula;Salix cinerea × triandra;NA;NA;Salix cinerea;Salix triandra;5372605;5372605;7103891;7103891
Salix × dichroa Döll;florkart;Salix × dichroa Döll;name;Salix ×dichroa Döll;5583533;5583533;NA;NA;NA;NA;NA;NA
Salix purpurea × repens;florkart;Salix purpurea × repens;formula;Salix purpurea × repens;10552890;10552890;Salix purpurea;Salix repens;5372800;5372800;9148812;9148812
Salix eleagnos × purpurea;florkart;Salix eleagnos × purpurea;formula;Salix eleagnos × purpurea;10307769;10307769;Salix eleagnos;Salix purpurea;5372655;5372655;5372800;5372800
Salix caprea × daphnoides;florkart;Salix caprea × daphnoides;formula;Salix caprea × daphnoides;10553425;10553425;Salix caprea;Salix daphnoides;5372952;5372952;9153437;9153437
Salix repens × viminalis;florkart;Salix repens × viminalis;formula;Salix repens × viminalis;NA;NA;Salix repens;Salix viminalis;9148812;9148812;5372933;5372933
Salix aurita × viminalis;florkart;Salix aurita × viminalis;formula;Salix aurita × viminalis;10192973;10192973;Salix aurita;Salix viminalis;5372876;5372876;5372933;5372933
Salix × holosericea Willd.;florkart;Salix × holosericea Willd.;name;Salix ×holosericea Willd.;7895688;7895688;NA;NA;NA;NA;NA;NA
Salix caprea × repens;florkart;Salix caprea × repens;formula;Salix caprea × repens;9904807;9904807;Salix caprea;Salix repens;5372952;5372952;9148812;9148812
Salix caprea × myrsinifolia;florkart;Salix caprea × myrsinifolia;formula;Salix caprea × myrsinifolia;10335723;10335723;Salix caprea;Salix myrsinifolia;5372952;5372952;5372875;5372875
