verbatim;type;edited;parent;source
Leucanthemum x superbum;name;Leucanthemum ×superbum;Leucanthemum maximum;ecoflora
Linaria x cornubiensis Druce;name;Linaria ×cornubiensis Druce;Linaria repens;ecoflora
Linaria x cornubiensis Druce;name;Linaria ×cornubiensis Druce;Linaria supina;ecoflora
Linaria x dominii Druce;name;Linaria ×dominii Druce;Linaria purpurea;ecoflora
Linaria x dominii Druce;name;Linaria ×dominii Druce;Linaria repens;ecoflora
Linaria x sepium J.G. Allman;name;Linaria ×sepium J.G. Allman;Linaria vulgaris;ecoflora
Linaria x sepium J.G. Allman;name;Linaria ×sepium J.G. Allman;Linaria repens;ecoflora
Lolium x boucheanum Kunth;name;Lolium ×boucheanum Kunth;Lolium perenne;ecoflora
Lolium x boucheanum Kunth;name;Lolium ×boucheanum Kunth;Lolium multiflorum;ecoflora
Lonicera x italica Schmidt ex Tausch;name;Lonicera ×italica Schmidt ex Tausch;Lonicera caprifolium;ecoflora
Lonicera x italica Schmidt ex Tausch;name;Lonicera ×italica Schmidt ex Tausch;Lonicera etrusca;ecoflora
Lupinus arboreus x nootkatensis x polyphyllus;formula;Lupinus arboreus × nootkatensis × polyphyllus;Lupinus arboreus;ecoflora
Lupinus arboreus x nootkatensis x polyphyllus;formula;Lupinus arboreus × nootkatensis × polyphyllus;Lupinus nootkatensis;ecoflora
Lupinus arboreus x nootkatensis x polyphyllus;formula;Lupinus arboreus × nootkatensis × polyphyllus;Lupinus polyphyllus;ecoflora
Lupinus x pseudopolyphyllus C.P. Sm.;name;Lupinus ×pseudopolyphyllus C.P. Sm.;Lupinus polyphyllus;ecoflora
Lupinus x pseudopolyphyllus C.P. Sm.;name;Lupinus ×pseudopolyphyllus C.P. Sm.;Lupinus nootkatensis;ecoflora
Lupinus x regalis Bergmans;name;Lupinus ×regalis Bergmans;Lupinus arboreus;ecoflora
Lupinus x regalis Bergmans;name;Lupinus ×regalis Bergmans;Lupinus polyphyllus;ecoflora
Macleaya x kewensis Turrill;name;Macleaya ×kewensis Turrill;Macleaya cordata;ecoflora
Macleaya x kewensis Turrill;name;Macleaya ×kewensis Turrill;Macleaya microcarpa;ecoflora
Mahonia x decumbens Stace;name;Mahonia ×decumbens Stace;Mahonia aquifolium;ecoflora
Mahonia x decumbens Stace;name;Mahonia ×decumbens Stace;Mahonia repens;ecoflora
Malus x purpurea (E. Barbier) Rehder;name;Malus ×purpurea (E. Barbier) Rehder;Malus atrosanguinea;ecoflora
Malus x purpurea (E. Barbier) Rehder;name;Malus ×purpurea (E. Barbier) Rehder;Malus niedzwetskyana;ecoflora
Mentha x gracilis Sole;name;Mentha ×gracilis Sole;Mentha arvensis;ecoflora
Mentha x gracilis Sole;name;Mentha ×gracilis Sole;Mentha spicata;ecoflora
Mentha x piperita L.;name;Mentha ×piperita L.;Mentha aquatica;ecoflora
Mentha x piperita L.;name;Mentha ×piperita L.;Mentha spicata;ecoflora
Mentha x rotundifolia (L.) Huds.;name;Mentha ×rotundifolia (L.) Huds.;Mentha suaveolens;ecoflora
Mentha x rotundifolia (L.) Huds.;name;Mentha ×rotundifolia (L.) Huds.;Mentha longifolia;ecoflora
Mentha x smithiana R.A. Graham;name;Mentha ×smithiana R.A. Graham;Mentha arvensis;ecoflora
Mentha x smithiana R.A. Graham;name;Mentha ×smithiana R.A. Graham;Mentha aquatica;ecoflora
Mentha x smithiana R.A. Graham;name;Mentha ×smithiana R.A. Graham;Mentha spicata;ecoflora
Mentha x verticillata L.;name;Mentha ×verticillata L.;Mentha arvensis;ecoflora
Mentha x verticillata L.;name;Mentha ×verticillata L.;Mentha aquatica;ecoflora
Mentha x villosa Huds;name;Mentha ×villosa Huds;Mentha spicata;ecoflora
Mentha x villosa Huds;name;Mentha ×villosa Huds;Mentha suaveolens;ecoflora
Mentha x villosonervata Opiz;name;Mentha ×villosonervata Opiz;Mentha spicata;ecoflora
Mentha x villosonervata Opiz;name;Mentha ×villosonervata Opiz;Mentha longifolia;ecoflora
Mimulus guttatus x luteus x cupreus;formula;Mimulus guttatus × luteus × cupreus;Mimulus guttatus;ecoflora
Mimulus guttatus x luteus x cupreus;formula;Mimulus guttatus × luteus × cupreus;Mimulus luteus;ecoflora
Mimulus guttatus x luteus x cupreus;formula;Mimulus guttatus × luteus × cupreus;Mimulus cupreus;ecoflora
Mimulus x burnetii S. Arn.;name;Mimulus ×burnetii S. Arn.;Mimulus guttatus;ecoflora
Mimulus x burnetii S. Arn.;name;Mimulus ×burnetii S. Arn.;Mimulus cupreus;ecoflora
Mimulus x maculosus T. Moore;name;Mimulus ×maculosus T. Moore;Mimulus luteus;ecoflora
Mimulus x maculosus T. Moore;name;Mimulus ×maculosus T. Moore;Mimulus cupreus;ecoflora
Mimulus x robertsii Silverside;name;Mimulus ×robertsii Silverside;Mimulus guttatus;ecoflora
Mimulus x robertsii Silverside;name;Mimulus ×robertsii Silverside;Mimulus luteus;ecoflora
Narcissus x incomparabilis Mill.;name;Narcissus ×incomparabilis Mill.;Narcissus poeticus;ecoflora
Narcissus x incomparabilis Mill.;name;Narcissus ×incomparabilis Mill.;Narcissus pseudonarcissus;ecoflora
Narcissus x medioluteus Mill.;name;Narcissus ×medioluteus Mill.;Narcissus tazetta;ecoflora
Narcissus x medioluteus Mill.;name;Narcissus ×medioluteus Mill.;Narcissus poeticus;ecoflora
Narcissus x monochromus P.D. Sell;name;Narcissus ×monochromus P.D. Sell;Narcissus pseudonarcissus;ecoflora
Narcissus x monochromus P.D. Sell;name;Narcissus ×monochromus P.D. Sell;Narcissus cyclamineus;ecoflora
Narcissus x odorus L.;name;Narcissus ×odorus L.;Narcissus pseudonarcissus;ecoflora
Narcissus x odorus L.;name;Narcissus ×odorus L.;Narcissus jonquilla;ecoflora
Nepeta x faassenii Bergmans ex Stearn;name;Nepeta ×faassenii Bergmans ex Stearn;Nepeta nepetella;ecoflora
Nepeta x faassenii Bergmans ex Stearn;name;Nepeta ×faassenii Bergmans ex Stearn;Nepeta racemosa;ecoflora
Nicotiana x sanderae W. Watson;name;Nicotiana ×sanderae W. Watson;Nicotiana alata;ecoflora
Nicotiana x sanderae W. Watson;name;Nicotiana ×sanderae W. Watson;Nicotiana forgetiana;ecoflora
Nothofagus nervosa x obliqua;formula;Nothofagus nervosa × obliqua;Nothofagus nervosa;ecoflora
Nothofagus nervosa x obliqua;formula;Nothofagus nervosa × obliqua;Nothofagus obliqua;ecoflora
Oenothera biennis x cambrica;formula;Oenothera biennis × cambrica;Oenothera biennis;ecoflora
Oenothera biennis x cambrica;formula;Oenothera biennis × cambrica;Oenothera cambrica;ecoflora
Oenothera x britannica Rostanski;name;Oenothera ×britannica Rostanski;Oenothera glazioviana;ecoflora
Oenothera x britannica Rostanski;name;Oenothera ×britannica Rostanski;Oenothera cambrica;ecoflora
Oenothera x fallax Renner;name;Oenothera ×fallax Renner;Oenothera glazioviana;ecoflora
