verbatim;edited;parent
Viola canina x rupestris NULL;Viola canina × rupestris;Viola canina
Viola canina x rupestris NULL;Viola canina × rupestris;Viola rupestris
Viola canina x pumila NULL;Viola canina × pumila;Viola canina
Viola canina x pumila NULL;Viola canina × pumila;Viola pumila
Carduus personata ssp. personata x crispus ssp. multiflorus NULL;Carduus personata subsp. personata × crispus subsp. multiflorus;Carduus personata subsp. personata
Carduus personata ssp. personata x crispus ssp. multiflorus NULL;Carduus personata subsp. personata × crispus subsp. multiflorus;Carduus crispus subsp. multiflorus
Carduus argemone ssp. obtusisquamus x acanthoides NULL;Carduus argemone subsp. obtusisquamus × acanthoides;Carduus argemone subsp. obtusisquamus
Carduus argemone ssp. obtusisquamus x acanthoides NULL;Carduus argemone subsp. obtusisquamus × acanthoides;Carduus acanthoides
Carex digitata x ornithopoda NULL;Carex digitata × ornithopoda;Carex digitata
Carex digitata x ornithopoda NULL;Carex digitata × ornithopoda;Carex ornithopoda
Carex hostiana x demissa NULL;Carex hostiana × demissa;Carex hostiana
Carex hostiana x demissa NULL;Carex hostiana × demissa;Carex demissa
Carex rostrata x rotundata NULL;Carex rostrata × rotundata;Carex rostrata
Carex rostrata x rotundata NULL;Carex rostrata × rotundata;Carex rotundata
Carex saxatilis x stenolepis NULL;Carex saxatilis × stenolepis;Carex saxatilis
Carex saxatilis x stenolepis NULL;Carex saxatilis × stenolepis;Carex stenolepis
Rumex hydrolapathum x aquaticus NULL;Rumex hydrolapathum × aquaticus;Rumex hydrolapathum
Rumex hydrolapathum x aquaticus NULL;Rumex hydrolapathum × aquaticus;Rumex aquaticus
