id;verbatim;parent;parent_taxonID;edited
urn:lsid:ipni.org:names:77096143-1;Crataegus × inexpectans K.I.Chr.;Crataegus monogyna Jacq.;urn:lsid:ipni.org:names:723820-1;Crataegus × inexpectans K.I.Chr.
urn:lsid:ipni.org:names:77096143-1;Crataegus × inexpectans K.I.Chr.;Crataegus nevadensis K.I.Chr.;urn:lsid:ipni.org:names:961421-1;Crataegus × inexpectans K.I.Chr.
urn:lsid:ipni.org:names:77096157-1;Encyclia × carbonitensis Campacci;Encyclia patens Hook.;urn:lsid:ipni.org:names:631026-1;Encyclia × carbonitensis Campacci
urn:lsid:ipni.org:names:77096157-1;Encyclia × carbonitensis Campacci;Encyclia kundergraberi V.P.Castro & Campacci;urn:lsid:ipni.org:names:1002162-1;Encyclia × carbonitensis Campacci
urn:lsid:ipni.org:names:77096273-1;Sorbus × motleyi T.C.G.Rich;Sorbus leyana Wilmott;urn:lsid:ipni.org:names:741826-1;Sorbus × motleyi T.C.G.Rich
urn:lsid:ipni.org:names:77096273-1;Sorbus × motleyi T.C.G.Rich;Sorbus aucuparia L.;urn:lsid:ipni.org:names:741641-1;Sorbus × motleyi T.C.G.Rich
urn:lsid:ipni.org:names:77096279-1;Dysphania × bontei (Aellen) Stace;NA;NA;Dysphania × bontei (Aellen) Stace
urn:lsid:ipni.org:names:77096280-1;Dysphania × christii (Aellen) Stace;NA;NA;Dysphania × christii (Aellen) Stace
urn:lsid:ipni.org:names:77096282-1;× Schedolium braunii (K.Richt.) Stace;NA;NA;× Schedolium braunii (K.Richt.) Stace
urn:lsid:ipni.org:names:77096283-1;× Schedolium nilssonii (Cugnac & A.Camus) Stace;NA;NA;× Schedolium nilssonii (Cugnac & A.Camus) Stace
urn:lsid:ipni.org:names:77096284-1;× Dactylodenia evansii (Druce) Stace;NA;NA;× Dactylodenia evansii (Druce) Stace
