key;accepted;kingdom;scientificName;speciesKey;taxonID
108891576;Holacanthus (Holacanthus) bermudensis × ciliaris;NA;Holacanthus (Holacanthus) townsendi (Nichols & Mowbray, 1914) [=Holacanthus (Holacanthus) × Holacanthus (Holacanthus) bermudensis × ciliaris Pyle & Randall, 1994];NA;NA
108891577;NA;NA;Holacanthus (Holacanthus) bermudensis × ciliaris;NA;NA
108897208;NA;NA;Acanthurus nigricauda × olivaceus sec.  Randall, Pyle & Myers 2001;NA;NA
108897209;NA;NA;Acanthurus nigricauda × olivaceus;NA;NA
108897212;NA;NA;Acanthurus olivaceus × tennentii sec.  Randall, Pyle & Myers 2001;NA;NA
108897213;NA;NA;Acanthurus olivaceus × tennentii;NA;NA
108897582;NA;NA;Zebrasoma rostratum × scopas sec.  Randall, Pyle & Myers 2001;NA;NA
108897583;NA;NA;Zebrasoma rostratum × scopas;NA;NA
108903508;NA;NA;Chaetodon aureofasciatus × rainfordi sec.  Randall, Allen & Steene 1977;NA;NA
108903509;NA;NA;Chaetodon aureofasciatus × rainfordi;NA;NA
108903512;NA;NA;Chaetodon auriga × ephippium sec.  Randall, Allen & Steene 1977;NA;NA
108903513;NA;NA;Chaetodon auriga × ephippium;NA;NA
108903514;NA;NA;Chaetodon auriga × lunula sec.  Randall, Allen & Steene 1977;NA;NA
108903515;NA;NA;Chaetodon auriga × lunula;NA;NA
108903518;NA;NA;Chaetodon ephippium × semeion sec.  Randall, Allen & Steene 1977;NA;NA
108903519;NA;NA;Chaetodon ephippium × semeion;NA;NA
108903522;NA;NA;Chaetodon kleinii × unimaculatus sec.  Randall, Allen & Steene 1977;NA;NA
108903523;NA;NA;Chaetodon kleinii × unimaculatus;NA;NA
